"統計年月","縣市","行政區域","教育程度總計","大學以上","大學","大學以下","大學以上比例","大學比例","大學以下比例"
10403,"高雄市","路竹區竹東里",3551,197,946,2408,0.0555,0.2664,0.6781
10403,"高雄市","路竹區竹西里",2406,129,556,1721,0.0536,0.2311,0.7153
10403,"高雄市","路竹區文北里",3211,123,737,2351,0.0383,0.2295,0.7322
10403,"高雄市","路竹區文南里",2501,131,624,1746,0.0524,0.2495,0.6981
10403,"高雄市","路竹區三爺里",910,34,168,708,0.0374,0.1846,0.778
10403,"高雄市","路竹區鴨寮里",2004,103,444,1457,0.0514,0.2216,0.727
10403,"高雄市","路竹區社東里",1805,63,390,1352,0.0349,0.2161,0.749
10403,"高雄市","路竹區社中里",916,40,187,689,0.0437,0.2041,0.7522
10403,"高雄市","路竹區竹南里",2878,178,775,1925,0.0618,0.2693,0.6689
10403,"高雄市","路竹區社南里",4490,262,1248,2980,0.0584,0.278,0.6637
10403,"高雄市","湖內區海山里",1169,36,228,905,0.0308,0.195,0.7742
10403,"高雄市","湖內區劉家里",1073,27,154,892,0.0252,0.1435,0.8313
10403,"高雄市","湖內區太爺里",839,47,183,609,0.056,0.2181,0.7259
10403,"高雄市","湖內區公舘里",2224,126,487,1611,0.0567,0.219,0.7244
10403,"高雄市","湖內區葉厝里",2567,103,568,1896,0.0401,0.2213,0.7386
10403,"高雄市","湖內區大湖里",3702,196,867,2639,0.0529,0.2342,0.7129
10403,"高雄市","湖內區田尾里",1068,51,216,801,0.0478,0.2022,0.75
10403,"高雄市","湖內區湖內里",3732,127,774,2831,0.034,0.2074,0.7586
10403,"高雄市","湖內區海埔里",1929,60,428,1441,0.0311,0.2219,0.747
10403,"高雄市","湖內區文賢里",1205,48,224,933,0.0398,0.1859,0.7743
10403,"高雄市","湖內區中賢里",2234,70,421,1743,0.0313,0.1885,0.7802
10403,"高雄市","湖內區逸賢里",1157,25,195,937,0.0216,0.1685,0.8099
10403,"高雄市","湖內區忠興里",725,21,95,609,0.029,0.131,0.84
10403,"高雄市","湖內區湖東里",2675,104,585,1986,0.0389,0.2187,0.7424
10403,"高雄市","茄萣區福德里",1028,33,165,830,0.0321,0.1605,0.8074
10403,"高雄市","茄萣區萬福里",952,22,156,774,0.0231,0.1639,0.813
10403,"高雄市","茄萣區白雲里",1771,58,321,1392,0.0327,0.1813,0.786
10403,"高雄市","茄萣區嘉賜里",3842,139,813,2890,0.0362,0.2116,0.7522
10403,"高雄市","茄萣區嘉安里",1796,56,375,1365,0.0312,0.2088,0.76
10403,"高雄市","茄萣區嘉定里",1229,41,195,993,0.0334,0.1587,0.808
10403,"高雄市","茄萣區保定里",3085,117,597,2371,0.0379,0.1935,0.7686
10403,"高雄市","茄萣區光定里",1042,32,166,844,0.0307,0.1593,0.81
10403,"高雄市","茄萣區大定里",1194,33,192,969,0.0276,0.1608,0.8116
10403,"高雄市","茄萣區吉定里",1214,32,219,963,0.0264,0.1804,0.7932
10403,"高雄市","茄萣區嘉樂里",2046,58,377,1611,0.0283,0.1843,0.7874
10403,"高雄市","茄萣區嘉泰里",1209,29,209,971,0.024,0.1729,0.8031
10403,"高雄市","茄萣區嘉福里",1047,25,159,863,0.0239,0.1519,0.8243
10403,"高雄市","茄萣區和協里",1179,30,182,967,0.0254,0.1544,0.8202
10403,"高雄市","茄萣區崎漏里",4629,113,814,3702,0.0244,0.1758,0.7997
10403,"高雄市","永安區永安里",1593,71,313,1209,0.0446,0.1965,0.7589
10403,"高雄市","永安區永華里",1940,74,397,1469,0.0381,0.2046,0.7572
10403,"高雄市","永安區新港里",2474,54,440,1980,0.0218,0.1778,0.8003
10403,"高雄市","永安區鹽田里",390,9,77,304,0.0231,0.1974,0.7795
10403,"高雄市","永安區保寧里",2599,84,542,1973,0.0323,0.2085,0.7591
10403,"高雄市","永安區維新里",3435,140,783,2512,0.0408,0.2279,0.7313
10403,"高雄市","彌陀區光和里",1310,28,231,1051,0.0214,0.1763,0.8023
10403,"高雄市","彌陀區彌靖里",1887,51,339,1497,0.027,0.1797,0.7933
10403,"高雄市","彌陀區彌仁里",585,17,96,472,0.0291,0.1641,0.8068
10403,"高雄市","彌陀區彌壽里",776,31,167,578,0.0399,0.2152,0.7448
10403,"高雄市","彌陀區彌陀里",1799,72,379,1348,0.04,0.2107,0.7493
10403,"高雄市","彌陀區舊港里",1688,47,292,1349,0.0278,0.173,0.7992
10403,"高雄市","彌陀區文安里",1821,31,272,1518,0.017,0.1494,0.8336
10403,"高雄市","彌陀區鹽埕里",2157,62,382,1713,0.0287,0.1771,0.7942
10403,"高雄市","彌陀區過港里",960,16,138,806,0.0167,0.1438,0.8396
10403,"高雄市","彌陀區海尾里",887,24,110,753,0.0271,0.124,0.8489
10403,"高雄市","彌陀區漯底里",1186,38,224,924,0.032,0.1889,0.7791
10403,"高雄市","彌陀區南寮里",2181,48,347,1786,0.022,0.1591,0.8189
10403,"高雄市","梓官區梓信里",2233,103,474,1656,0.0461,0.2123,0.7416
10403,"高雄市","梓官區梓義里",2106,107,422,1577,0.0508,0.2004,0.7488
10403,"高雄市","梓官區梓和里",2406,134,545,1727,0.0557,0.2265,0.7178
10403,"高雄市","梓官區梓平里",1493,59,360,1074,0.0395,0.2411,0.7194
10403,"高雄市","梓官區中崙里",1186,41,241,904,0.0346,0.2032,0.7622
10403,"高雄市","梓官區赤崁里",1951,67,356,1528,0.0343,0.1825,0.7832
10403,"高雄市","梓官區禮蚵里",2254,59,352,1843,0.0262,0.1562,0.8177
10403,"高雄市","梓官區智蚵里",2965,128,578,2259,0.0432,0.1949,0.7619
10403,"高雄市","梓官區信蚵里",2410,55,450,1905,0.0228,0.1867,0.7905
10403,"高雄市","梓官區同安里",1023,35,188,800,0.0342,0.1838,0.782
10403,"高雄市","梓官區大舍里",3776,120,722,2934,0.0318,0.1912,0.777
10403,"高雄市","梓官區赤東里",2374,57,404,1913,0.024,0.1702,0.8058
10403,"高雄市","梓官區赤西里",836,29,130,677,0.0347,0.1555,0.8098
10403,"高雄市","梓官區茄苳里",2437,58,446,1933,0.0238,0.183,0.7932
10403,"高雄市","梓官區典寶里",2998,149,666,2183,0.0497,0.2221,0.7282
10403,"高雄市","旗山區太平里",2358,80,430,1848,0.0339,0.1824,0.7837
10403,"高雄市","旗山區大德里",2523,131,574,1818,0.0519,0.2275,0.7206
10403,"高雄市","旗山區湄洲里",1799,83,364,1352,0.0461,0.2023,0.7515
10403,"高雄市","旗山區圓富里",1898,36,289,1573,0.019,0.1523,0.8288
10403,"高雄市","旗山區中正里",1590,34,215,1341,0.0214,0.1352,0.8434
10403,"高雄市","旗山區大林里",1470,27,175,1268,0.0184,0.119,0.8626
10403,"高雄市","旗山區上洲里",1050,26,138,886,0.0248,0.1314,0.8438
10403,"高雄市","旗山區新光里",856,20,119,717,0.0234,0.139,0.8376
10403,"高雄市","旗山區南勝里",2317,56,306,1955,0.0242,0.1321,0.8438
10403,"高雄市","旗山區中寮里",185,0,14,171,0,0.0757,0.9243
10403,"高雄市","旗山區東平里",2070,82,373,1615,0.0396,0.1802,0.7802
10403,"高雄市","旗山區東昌里",1101,50,186,865,0.0454,0.1689,0.7856
10403,"高雄市","旗山區竹峰里",1653,96,287,1270,0.0581,0.1736,0.7683
10403,"高雄市","旗山區瑞吉里",2122,81,363,1678,0.0382,0.1711,0.7908
10403,"高雄市","旗山區永和里",3511,153,650,2708,0.0436,0.1851,0.7713
10403,"高雄市","旗山區三協里",2242,84,382,1776,0.0375,0.1704,0.7921
10403,"高雄市","旗山區鯤洲里",838,19,104,715,0.0227,0.1241,0.8532
10403,"高雄市","旗山區大山里",1319,43,174,1102,0.0326,0.1319,0.8355
10403,"高雄市","旗山區中洲里",906,26,124,756,0.0287,0.1369,0.8344
10403,"高雄市","旗山區南洲里",1399,34,252,1113,0.0243,0.1801,0.7956
10403,"高雄市","旗山區廣福里",644,14,96,534,0.0217,0.1491,0.8292
10403,"高雄市","美濃區福安里",2750,113,486,2151,0.0411,0.1767,0.7822
10403,"高雄市","美濃區合和里",2466,83,471,1912,0.0337,0.191,0.7753
10403,"高雄市","美濃區祿興里",2660,89,474,2097,0.0335,0.1782,0.7883
10403,"高雄市","美濃區中壇里",2196,67,396,1733,0.0305,0.1803,0.7892
10403,"高雄市","美濃區德興里",1599,52,242,1305,0.0325,0.1513,0.8161
10403,"高雄市","美濃區龍山里",2240,52,302,1886,0.0232,0.1348,0.842
10403,"高雄市","美濃區獅山里",2605,64,366,2175,0.0246,0.1405,0.8349
10403,"高雄市","美濃區龍肚里",1591,43,199,1349,0.027,0.1251,0.8479
10403,"高雄市","美濃區廣德里",1437,49,162,1226,0.0341,0.1127,0.8532
10403,"高雄市","美濃區興隆里",1263,28,170,1065,0.0222,0.1346,0.8432
10403,"高雄市","美濃區中圳里",2163,86,382,1695,0.0398,0.1766,0.7836
10403,"高雄市","美濃區東門里",1324,46,206,1072,0.0347,0.1556,0.8097
10403,"高雄市","美濃區泰安里",1596,80,322,1194,0.0501,0.2018,0.7481
10403,"高雄市","美濃區瀰濃里",2348,103,414,1831,0.0439,0.1763,0.7798
10403,"高雄市","美濃區清水里",1883,45,282,1556,0.0239,0.1498,0.8263
