"有偶人數","有偶比例","行政區域","統計年月","縣市"
205,54.67,"三民區德西里",10407,"高雄市"
221,57.85,"三民區德東里",10407,"高雄市"
599,59.01,"三民區德智里",10407,"高雄市"
495,55,"三民區興德里",10407,"高雄市"
627,55.83,"三民區豐裕里",10407,"高雄市"
760,58.82,"三民區寶中里",10407,"高雄市"
861,61.68,"三民區寶民里",10407,"高雄市"
2245,60.43,"三民區寶玉里",10407,"高雄市"
1844,56.67,"三民區寶安里",10407,"高雄市"
1081,56.19,"三民區寶泰里",10407,"高雄市"
1603,46.36,"三民區寶珠里",10407,"高雄市"
2297,63.97,"三民區寶國里",10407,"高雄市"
1381,61.19,"三民區寶盛里",10407,"高雄市"
900,64.84,"三民區寶華里",10407,"高雄市"
1479,64.14,"三民區寶業里",10407,"高雄市"
901,57.46,"三民區寶獅里",10407,"高雄市"
1272,60,"三民區寶德里",10407,"高雄市"
713,60.84,"三民區寶慶里",10407,"高雄市"
1733,58.99,"三民區寶興里",10407,"高雄市"
1130,61.18,"三民區寶龍里",10407,"高雄市"
1095,57.6,"三民區灣子里",10407,"高雄市"
1446,53.67,"三民區灣中里",10407,"高雄市"
579,54.93,"三民區灣成里",10407,"高雄市"
832,57.34,"三民區灣利里",10407,"高雄市"
517,61.11,"三民區灣勝里",10407,"高雄市"
898,48.23,"三民區灣復里",10407,"高雄市"
717,53.95,"三民區灣華里",10407,"高雄市"
683,46.91,"三民區灣愛里",10407,"高雄市"
527,63.27,"三民區灣興里",10407,"高雄市"
109,52.66,"那瑪夏區南沙魯里",10407,"高雄市"
246,56.68,"那瑪夏區達卡努瓦里",10407,"高雄市"
116,53.46,"那瑪夏區瑪雅里",10407,"高雄市"
52,52,"桃源區拉芙蘭里",10407,"高雄市"
116,53.95,"桃源區建山里",10407,"高雄市"
148,50,"桃源區桃源里",10407,"高雄市"
127,54.74,"桃源區高中里",10407,"高雄市"
51,50.5,"桃源區梅山里",10407,"高雄市"
56,49.56,"桃源區復興里",10407,"高雄市"
53,54.64,"桃源區勤和里",10407,"高雄市"
97,57.06,"桃源區寶山里",10407,"高雄市"
78,42.39,"茂林區多納里",10407,"高雄市"
119,45.25,"茂林區茂林里",10407,"高雄市"
62,46.62,"茂林區萬山里",10407,"高雄市"
162,60.9,"內門區三平里",10407,"高雄市"
134,57.76,"內門區中埔里",10407,"高雄市"
199,59.05,"內門區內東里",10407,"高雄市"
222,62.18,"內門區內門里",10407,"高雄市"
93,59.62,"內門區內南里",10407,"高雄市"
272,59.13,"內門區內豊里",10407,"高雄市"
130,59.91,"內門區內興里",10407,"高雄市"
141,60.26,"內門區木柵里",10407,"高雄市"
