"行政區域","綜合所得中位數_log","平均教育程度","有偶比例","女男比","扶老比_log","每戶平均用電度數","cluster"
"鼓山區龍水里",0.802616490986582,0.84935125475876,0.952399439996911,0.728260869565218,0.36433365835328,0.443242533250287,"6"
"鼓山區龍子里",0.687567375676276,0.717582161448217,0.846655932561567,0.682367149758454,0.425867275075937,0.4323405914081,"6"
"鼓山區綠川里",0.324358561181209,0.276202315282418,0.248006279452207,0.279438405797101,0.717274504050915,0.313427650171813,"2"
"鼓山區民強里",0.319424030274689,0.337969077771735,0.310178152265485,0.433876811594203,0.693742849824645,0.358043836568325,"3"
"鼓山區民族里",0.348618837223299,0.313029290653407,0.290471934000105,0.36850845410628,0.662804129158884,0.364246884705504,"3"
"鼓山區明誠里",0.63300805644416,0.645249009400979,0.697765960102997,0.666968599033817,0.434896749149054,0.426951057780715,"6"
"鼓山區內惟里",0.373769951251436,0.299355139460803,0.316778803203498,0.270229468599034,0.713944130944348,0.476020388707402,"3"
"鼓山區平和里",0.3470224197001,0.414264625903193,0.415543367626239,0.508001207729468,0.638515242534119,0.368598339921953,"5"
"鼓山區前峰里",0.481456208673248,0.515033796907777,0.493506820904184,0.432669082125604,0.676941466276641,0.3920716231733,"4"
"鼓山區山下里",0.411664737108705,0.423743298888975,0.388500804734303,0.414704106280193,0.635935751388346,0.396778990987785,"5"
"鼓山區哨船頭里",0.324358561181209,0.326081889519074,0.319577832667907,0.289855072463768,0.708595702280606,0.492756754924517,"3"
"鼓山區壽山里",0.282353617571203,0.230828995416052,0.100674535775534,0.410628019323672,0.677763292671374,0.395168910187151,"2"
"鼓山區樹德里",0.330894582138373,0.335094398259653,0.307461428149103,0.346618357487923,0.633293628297124,0.412828954337261,"3"
"鼓山區桃源里",0.416102867906015,0.476963716882915,0.567074935383528,0.140096618357488,0.605549298487991,0.142424357980281,"1"
"鼓山區維生里",0.411664737108705,0.386838629477119,0.309138057932694,0.420742753623188,0.721651638613853,0.520776397910285,"3"
"鼓山區新民里",0.232759966670752,0.285914070390801,0.232728320463406,0.302989130434783,0.643357855645063,0.413896692131366,"2"
"鼓山區興宗里",0.325997188068789,0.303239841504157,0.186263511643532,0.300875603864734,0.734390529822478,0.331558007397898,"2"
"鼓山區雄峰里",0.325997188068789,0.433066583793023,0.367257596450994,0.511171497584541,0.670334664177787,0.307949138394919,"3"
"鼓山區延平里",0.277173586190781,0.3701344106907,0.276300423973614,0.366696859903382,0.738315850782285,0.513874235741252,"3"
"鼓山區裕豐里",0.52548185263415,0.695594747882837,0.467722709524407,0.496074879227053,0.644013996693532,0.424980827327308,"6"
"鼓山區裕興里",0.420518412698219,0.544479838396395,0.468639138100646,0.430857487922705,0.606242093310172,0.450115036036151,"4"
"鼓山區正德里",0.408693320920033,0.342553026182892,0.425595758596367,0.453351449275362,0.614030693764899,0.338905060314474,"5"
"鼓山區忠正里",0.345423059470124,0.3571595058659,0.365473070849735,0.497282608695652,0.677097572249129,0.339743997152699,"3"
"鼓山區自強里",0.466270173491219,0.590241628467096,0.340981472474989,0.426026570048309,0.965784515782581,0.413960247952443,"4"
"湖內區大湖里",0.386077287804042,0.389091756662264,0.543180386674042,0.385869565217391,0.566181247518632,0.581662874502676,"5"
"湖內區公舘里",0.433631801034819,0.374329888897522,0.534209806646161,0.371829710144927,0.561970690600421,0.448254969005945,"5"
"湖內區海埔里",0.20873396973879,0.319167119881905,0.263108411907367,0.396437198067633,0.669083568481914,0.615605920012881,"3"
"湖內區海山里",0.314461275015055,0.27666847952762,0.298873077526283,0.291968599033816,0.802146648075955,0.395173147241889,"3"
"湖內區湖東里",0.292621816454136,0.332375106829306,0.453695458026128,0.502264492753623,0.4889876195024,0.526373547219857,"5"
"湖內區湖內里",0.399717523503867,0.303395229585891,0.490363905675992,0.361564009661836,0.462981727406061,0.48816802464271,"5"
"湖內區劉家里",0.299400387487219,0.183591018568876,0.160801527008664,0.230978260869565,0.744679738014522,0.306936482312415,"2"
"湖內區太爺里",0.275440013827695,0.371299821303706,0.452476699769975,0.236262077294686,0.721458714741199,0.539347408829175,"3"
"湖內區田尾里",0.290918866586389,0.327480382254681,0.37584599753362,0.416515700483092,0.729156653899571,0.423658866248893,"3"
