"縣市名稱","行政區域"
"高雄市","仁武區仁和里"
"高雄市","仁武區赤山里"
"高雄市","仁武區仁慈里"
"高雄市","鳥松區鳥松里"
"高雄市","鳥松區夢裡里"
"高雄市","鳥松區大華里"
"高雄市","鳥松區坔埔里"
"高雄市","鳥松區仁美里"
"高雄市","鳥松區大竹里"
"高雄市","鳥松區華美里"
"高雄市","岡山區平安里"
"高雄市","岡山區岡山里"
"高雄市","岡山區壽天里"
"高雄市","岡山區維仁里"
"高雄市","岡山區後紅里"
"高雄市","岡山區大遼里"
"高雄市","岡山區忠孝里"
"高雄市","岡山區和平里"
"高雄市","岡山區前峰里"
"高雄市","岡山區劉厝里"
"高雄市","岡山區協和里"
"高雄市","岡山區後協里"
"高雄市","岡山區信義里"
"高雄市","岡山區潭底里"
"高雄市","岡山區三和里"
"高雄市","岡山區仁壽里"
"高雄市","岡山區碧紅里"
"高雄市","岡山區程香里"
"高雄市","岡山區竹圍里"
"高雄市","岡山區台上里"
"高雄市","岡山區灣裡里"
"高雄市","岡山區白米里"
"高雄市","岡山區石潭里"
"高雄市","岡山區福興里"
"高雄市","岡山區本洲里"
"高雄市","岡山區嘉興里"
"高雄市","岡山區嘉峰里"
"高雄市","岡山區華崗里"
"高雄市","岡山區大莊里"
"高雄市","岡山區協榮里"
"高雄市","岡山區為隨里"
"高雄市","岡山區壽峰里"
"高雄市","岡山區仁義里"
"高雄市","橋頭區橋頭里"
"高雄市","橋頭區橋南里"
"高雄市","橋頭區仕隆里"
"高雄市","橋頭區仕豐里"
"高雄市","橋頭區芋寮里"
"高雄市","橋頭區東林里"
"高雄市","橋頭區西林里"
"高雄市","橋頭區白樹里"
"高雄市","橋頭區筆秀里"
"高雄市","橋頭區新莊里"
"高雄市","橋頭區甲北里"
"高雄市","橋頭區甲南里"
"高雄市","橋頭區頂鹽里"
"高雄市","橋頭區中崎里"
"高雄市","橋頭區仕和里"
"高雄市","橋頭區德松里"
"高雄市","橋頭區三德里"
"高雄市","燕巢區尖山里"
"高雄市","燕巢區瓊林里"
