YM,CODEBASE,kW,COUNT,CITY,AREA,CODE1,CODE2,VILLCODE
10506,A6312-0386-00,3014,2,臺北市,文山區,A6312-29-003,A6312-29,A6312-025-00
10507,A6312-0387-00,61535,125,臺北市,北投區,A6312-35-001,A6312-35,A6312-025-00
10507,A6312-0388-00,60609,11,臺北市,北投區,A6312-27-003,A6312-27,A6312-022-00
10506,A6312-0388-00,100753,53,臺北市,北投區,A6312-27-003,A6312-27,A6312-022-00
10507,A6312-0389-00,120937,133,臺北市,文山區,A6312-29-004,A6312-29,A6312-025-00
10506,A6312-0389-00,2000,1,臺北市,文山區,A6312-29-004,A6312-29,A6312-025-00
10506,A6312-0390-00,47086,68,臺北市,北投區,A6312-26-001,A6312-26,A6312-037-00
10506,A6312-0391-00,6969,2,臺北市,北投區,A6312-27-005,A6312-27,A6312-022-00
10507,A6312-0392-00,9479,3,臺北市,北投區,A6312-27-003,A6312-27,A6312-022-00
10506,A6312-0392-00,125958,132,臺北市,北投區,A6312-27-003,A6312-27,A6312-022-00
10507,A6312-0393-00,15088,7,臺北市,北投區,A6312-27-004,A6312-27,A6312-022-00
10506,A6312-0393-00,89085,92,臺北市,北投區,A6312-27-004,A6312-27,A6312-022-00
10507,A6312-0394-00,4355,3,臺北市,北投區,A6312-27-006,A6312-27,A6312-022-00
10506,A6312-0394-00,102148,102,臺北市,北投區,A6312-27-006,A6312-27,A6312-022-00
10507,A6312-0395-00,7517,2,臺北市,北投區,A6312-28-002,A6312-28,A6312-024-00
10506,A6312-0395-00,52826,58,臺北市,北投區,A6312-28-002,A6312-28,A6312-024-00
10507,A6312-0397-00,61469,58,臺北市,北投區,A6312-35-002,A6312-35,A6312-025-00
10507,A6312-0398-00,75836,110,臺北市,北投區,A6312-35-002,A6312-35,A6312-025-00
10507,A6312-0399-00,10363,3,臺北市,北投區,A6312-27-005,A6312-27,A6312-022-00
10506,A6312-0399-00,156254,285,臺北市,北投區,A6312-27-005,A6312-27,A6312-022-00
10507,A6312-0400-00,1805,2,臺北市,北投區,A6312-32-007,A6312-32,A6312-037-00
10506,A6312-0400-00,18142,24,臺北市,北投區,A6312-32-007,A6312-32,A6312-037-00
10507,A6312-0401-00,3581,1,臺北市,北投區,A6312-30-003,A6312-30,A6312-009-00
10506,A6312-0401-00,108794,114,臺北市,北投區,A6312-30-003,A6312-30,A6312-009-00
