"縣市","行政區域","售電量度數","統計年月","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得平均數","綜合所得中位數","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","每戶平均用電度數","每人平均用電度數"
"高雄市","大樹區三和里",717194,10407,1034,0.0542,0.2166,0.7292,"218","219598","1007","575",388,1127,0.4898,0.5102,0.1562,0.276,0.394,0.1739,1,0,1,0,0,242,61.73,1848.44,636.37
"高雄市","大樹區檨腳里",1497485,10407,3758,0.0319,0.1865,0.7815,"873","606320","695","542",1367,4243,0.4905,0.5095,0.1822,0.3111,0.3726,0.1341,4,1,3,4,1,849,62.06,1095.45,352.93
"高雄市","大樹區水安里",814982,10407,2460,0.0407,0.1959,0.7634,"606","454326","750","534",848,2759,0.4792,0.5208,0.1794,0.3197,0.3708,0.1301,3,1,2,1,1,496,58.42,961.06,295.39
"高雄市","大樹區水寮里",805087,10407,2384,0.031,0.1804,0.7886,"568","409782","721","559",795,2718,0.4805,0.5195,0.1902,0.298,0.3683,0.1435,3,2,1,3,0,469,58.99,1012.69,296.21
"高雄市","大樹區統嶺里",128460,10407,738,0.0312,0.1653,0.8035,"121","75141","621","483",245,805,0.5168,0.4832,0.1193,0.2708,0.4547,0.1553,1,1,0,2,0,143,58.37,524.33,159.58
"高雄市","大樹區溪埔里",1004678,10407,1684,0.0333,0.1829,0.7838,"396","315280","796","665",601,1911,0.4636,0.5364,0.19,0.2836,0.3768,0.1497,9,3,6,1,0,380,62.4,1671.68,525.73
"高雄市","大樹區小坪里",645020,10407,1373,0.0393,0.1988,0.7618,"309","257102","832","620",484,1544,0.4663,0.5337,0.1956,0.2869,0.3847,0.1328,4,4,0,2,0,304,62.68,1332.69,417.76
"高雄市","大樹區興山里",248873,10407,1164,0.0215,0.1512,0.8273,"217","123621","570","478",369,1327,0.4635,0.5365,0.1876,0.2946,0.3896,0.1281,2,2,0,1,0,193,52.45,674.45,187.55
"高雄市","大樹區興田里",396635,10407,2050,0.0454,0.1834,0.7712,"413","241675","585","467",526,2257,0.5786,0.4214,0.1573,0.249,0.4745,0.1192,1,1,0,1,1,325,61.9,754.06,175.74
"高雄市","大樹區竹寮里",1094087,10407,2770,0.0412,0.2412,0.7177,"742","524235","707","548",1005,3094,0.4748,0.5252,0.1842,0.3242,0.3927,0.0989,5,2,3,5,2,660,65.48,1088.64,353.62
"高雄市","鳳山區保安里",2696775,10407,5785,0.0674,0.2707,0.6619,"1682","1548772","921","724",2667,7531,0.5155,0.4845,0.3224,0.3385,0.3014,0.0377,13,5,8,8,3,1955,71.45,1011.16,358.09
"高雄市","鳳山區北門里",1967911,10407,4352,0.045,0.2128,0.7422,"1039","719542","693","558",1819,4984,0.5034,0.4966,0.2022,0.3022,0.3772,0.1184,5,2,3,6,5,1035,56.87,1081.86,394.85
"高雄市","鳳山區曹公里",959041,10407,2132,0.0835,0.2645,0.652,"629","553992","881","644",965,2383,0.509,0.491,0.1704,0.3038,0.3949,0.1309,5,1,4,0,0,543,56.56,993.82,402.45
"高雄市","鳳山區成功里",327904,10407,660,0.0606,0.247,0.6924,"221","180654","817","509",333,756,0.4788,0.5212,0.1706,0.2553,0.3558,0.2183,0,0,0,1,0,194,58.97,984.7,433.74
"高雄市","鳳山區誠德里",942115,10407,2373,0.0493,0.2006,0.7501,"518","387161","747","563",996,2706,0.5211,0.4789,0.2302,0.2694,0.3492,0.1511,2,1,1,2,1,571,56.76,945.9,348.16
"高雄市","鳳山區誠信里",788327,10407,2110,0.0384,0.2659,0.6957,"561","415966","741","591",967,2392,0.5259,0.4741,0.2329,0.2897,0.4043,0.0732,3,2,1,1,1,517,53.52,815.23,329.57
"高雄市","鳳山區誠義里",2438301,10407,3740,0.1131,0.3155,0.5714,"1265","1267034","1002","792",1682,4203,0.4973,0.5027,0.2018,0.3547,0.3859,0.0576,4,3,1,3,3,1216,72.42,1449.64,580.13
"高雄市","鳳山區誠智里",1109973,10407,2846,0.0502,0.2277,0.7221,"737","548333","744","577",1290,3201,0.5195,0.4805,0.2093,0.2899,0.4083,0.0925,7,3,4,2,1,713,54.76,860.44,346.76
"高雄市","鳳山區大德里",1903636,10407,4492,0.0472,0.2237,0.7291,"1331","987018","742","604",1869,5241,0.5007,0.4993,0.2206,0.3455,0.3398,0.0941,11,4,7,8,3,1180,62.93,1018.53,363.22
"高雄市","鳳山區東門里",2310830,10407,5770,0.0425,0.2234,0.7341,"1355","957385","707","568",2678,6655,0.5177,0.4823,0.2069,0.2742,0.3872,0.1316,7,2,5,3,4,1432,53.51,862.89,347.23
"高雄市","鳳山區二甲里",1923966,10407,4653,0.0473,0.2306,0.7221,"1315","990535","753","593",1924,5507,0.4995,0.5005,0.2253,0.3494,0.349,0.0763,11,5,6,5,4,1227,63.84,999.98,349.37
"高雄市","鳳山區鳳東里",2592937,10407,6004,0.0623,0.2585,0.6792,"1662","1451460","873","665",2568,7106,0.5118,0.4882,0.2388,0.3227,0.3501,0.0884,12,9,3,2,3,1731,67.25,1009.71,364.89
