"縣市","統計年月","行政區域","售電量度數"
"高雄市",10407,"前鎮區瑞隆里","1510089"
"高雄市",10407,"前鎮區瑞誠里","2837"
"高雄市",10407,"前鎮區瑞豐里","1074950"
"高雄市",10407,"前鎮區興中里","17471"
"高雄市",10407,"前鎮區興邦里","31107"
"高雄市",10407,"前鎮區興東里","9166"
"高雄市",10407,"前鎮區鎮東里","889"
"高雄市",10407,"前鎮區鎮海里","1427"
"高雄市",10407,"前鎮區鎮榮里","2221"
"高雄市",10407,"前金區文西里","5739"
"高雄市",10407,"前金區文東里","4080"
"高雄市",10407,"前金區北金里","0"
"高雄市",10407,"前金區民生里","0"
"高雄市",10407,"前金區東金里","19600"
"高雄市",10407,"前金區林投里","3889"
"高雄市",10407,"前金區社東里","40"
"高雄市",10407,"前金區長生里","2470"
"高雄市",10407,"前金區長城里","2595"
"高雄市",10407,"前金區青山里","6720"
"高雄市",10407,"前金區後金里","14920"
"高雄市",10407,"前金區國民里","0"
"高雄市",10407,"前金區博孝里","5586"
"高雄市",10407,"前金區復元里","16440"
"高雄市",10407,"前金區新生里","0"
"高雄市",10407,"旗山區三協里","824412"
"高雄市",10407,"旗山區上洲里","357146"
"高雄市",10407,"旗山區大山里","363076"
"高雄市",10407,"旗山區大林里","434"
"高雄市",10407,"旗山區大德里","724618"
"高雄市",10407,"旗山區中正里","6973"
"高雄市",10407,"旗山區中洲里","227840"
"高雄市",10407,"旗山區中寮里","12442"
"高雄市",10407,"旗山區太平里","947766"
"高雄市",10407,"旗山區永和里","141011"
"高雄市",10407,"旗山區竹峰里","171"
"高雄市",10407,"旗山區東平里","453568"
"高雄市",10407,"旗山區東昌里","330634"
"高雄市",10407,"旗山區南洲里","390762"
"高雄市",10407,"旗山區南勝里","289184"
"高雄市",10407,"旗山區湄洲里","404051"
"高雄市",10407,"旗山區圓富里","439449"
"高雄市",10407,"旗山區新光里","200570"
"高雄市",10407,"旗山區瑞吉里","21502"
"高雄市",10407,"旗山區廣福里","214178"
"高雄市",10407,"旗山區鯤洲里","240610"
"高雄市",10407,"旗津區上竹里","2694"
"高雄市",10407,"旗津區安順里","0"
"高雄市",10407,"旗津區復興里","0"
"高雄市",10407,"旗津區實踐里","10122"
"高雄市",10407,"鳥松區大竹里","227185"
"高雄市",10407,"鳥松區大華里","4770634"
"高雄市",10407,"鳥松區仁美里","2985695"
"高雄市",10407,"鳥松區鳥松里","4367509"
"高雄市",10407,"鳥松區華美里","1044790"
"高雄市",10407,"鳥松區夢裡里","2923705"
"高雄市",10407,"鳥松區坔埔里","1498942"
"高雄市",10407,"內門區三平里","132944"
"高雄市",10407,"內門區中埔里","187391"
"高雄市",10407,"內門區內東里","166796"
"高雄市",10407,"內門區內門里","16388"
"高雄市",10407,"內門區內興里","86994"
"高雄市",10407,"內門區木柵里","230662"
"高雄市",10407,"內門區永興里","2"
"高雄市",10407,"內門區石坑里","81675"
"高雄市",10407,"內門區東埔里","31138"
"高雄市",10407,"內門區瑞山里","7374"
"高雄市",10407,"內門區觀亭里","40"
"高雄市",10407,"楠梓區久昌里","965023"
"高雄市",10407,"楠梓區大昌里","595439"
"高雄市",10407,"楠梓區中和里","14564"
"高雄市",10407,"楠梓區中陽里","1286634"
"高雄市",10407,"楠梓區中興里","0"
"高雄市",10407,"楠梓區五常里","1822806"
"高雄市",10407,"楠梓區仁昌里","366265"
"高雄市",10407,"楠梓區加昌里","135969"
"高雄市",10407,"楠梓區玉屏里","10423"
"高雄市",10407,"楠梓區宏昌里","1312609"
"高雄市",10407,"楠梓區宏榮里","2491"
"高雄市",10407,"楠梓區秀昌里","341167"
"高雄市",10407,"楠梓區享平里","1121473"
"高雄市",10407,"楠梓區和昌里","4307"
"高雄市",10407,"楠梓區東寧里","1818803"
"高雄市",10407,"楠梓區建昌里","560859"
"高雄市",10407,"楠梓區泰昌里","630179"
"高雄市",10407,"楠梓區國昌里","1546008"
"高雄市",10407,"楠梓區清豐里","4000512"
"高雄市",10407,"楠梓區盛昌里","2193911"
"高雄市",10407,"楠梓區惠民里","1609574"
"高雄市",10407,"楠梓區惠楠里","1196398"
"高雄市",10407,"楠梓區惠豐里","2114378"
"高雄市",10407,"楠梓區隆昌里","0"
"高雄市",10407,"楠梓區瑞屏里","15200"
"高雄市",10407,"楠梓區稔田里","21082"
"高雄市",10407,"楠梓區裕昌里","2065319"
"高雄市",10407,"楠梓區福昌里","827943"
"高雄市",10407,"楠梓區翠屏里","103578"
"高雄市",10407,"楠梓區廣昌里","1082040"
"高雄市",10407,"楠梓區興昌里","1828105"
"高雄市",10407,"楠梓區錦屏里","38621"
"高雄市",10407,"楠梓區藍田里","22797"
"高雄市",10407,"那瑪夏區南沙魯里","26864"
"高雄市",10407,"那瑪夏區達卡努瓦里","172266"
"高雄市",10407,"那瑪夏區瑪雅里","146195"
"高雄市",10407,"彌陀區文安里","605901"
"高雄市",10407,"彌陀區光和里","456257"
"高雄市",10407,"彌陀區南寮里","707124"
"高雄市",10407,"彌陀區海尾里","276329"
"高雄市",10407,"彌陀區過港里","285411"
"高雄市",10407,"彌陀區漯底里","485033"
"高雄市",10407,"彌陀區彌仁里","275074"
"高雄市",10407,"彌陀區彌陀里","783391"
"高雄市",10407,"彌陀區彌靖里","728944"
"高雄市",10407,"彌陀區彌壽里","291180"
"高雄市",10407,"彌陀區舊港里","509016"
"高雄市",10407,"彌陀區鹽埕里","537678"
"高雄市",10407,"美濃區中圳里","705521"
"高雄市",10407,"美濃區中壇里","127188"
"高雄市",10407,"美濃區吉和里","98188"
"高雄市",10407,"美濃區吉東里","2197"
"高雄市",10407,"美濃區吉洋里","4345"
"高雄市",10407,"美濃區合和里","863042"
"高雄市",10407,"美濃區東門里","353072"
"高雄市",10407,"美濃區泰安里","619745"
"高雄市",10407,"美濃區清水里","416979"
"高雄市",10407,"美濃區獅山里","127595"
"高雄市",10407,"美濃區祿興里","204361"
